Ball.SetZ,43
ImageSprite.SetInterval,68
Ball.SetX,636
Ball.SetY,427
AccelerometerSensor.AccelerationChanged,237
Form.GetTitle,59
Ball.SetPaintColor,597
Player.Vibrate,470
AccelerometerSensor.GetAvailable,19
Camera.TakePicture,969
Clock.AddDays,45
Label.GetVisible,177
Sound.Vibrate,3292
math_number,193010
EmailPicker.GotFocus,2
CheckBox.GotFocus,27
FusiontablesControl.GetRowsWithConditions,23
File.AppendToFile,196
controls_getStartValue,1290
BluetoothClient.ReceiveSigned4ByteNumber,2
FusiontablesControl.SetApiKey,238
AccelerometerSensor.GetEnabled,2
Texting.GetPhoneNumber,8
None.het,3
Notifier.ShowChooseDialog,974
Label.GetText,16692
VerticalArrangement.SetAlignHorizontal,1
Ball.GetSpeed,776
Web.SetRequestHeaders,169
None.block,2
ImageSprite.SetZ,42
ListView.GetVisible,5
LocationSensor.GetHasAccuracy,4
BluetoothClient.GetIsConnected,1343
Image.SetHeight,95
TextBox.GetText,83786
ActivityStarter.StartActivity,2270
Notifier.SetBackgroundColor,14
FusiontablesControl.SetKeyFile,13
VideoPlayer.Completed,28
PhoneNumberPicker.Open,15
Clock.MakeInstantFromMillis,17
math_subtract,20604
OrientationSensor.GetAngle,188
Clock.Duration,351
Canvas.DrawLine,2793
local_declaration_statement,1837
Form.SetScreenOrientation,66
CheckBox.SetWidth,30
FusiontablesControl.DoQuery,6
WebViewer.SetVisible,495
Form.SetBackgroundColor,1049
Clock.AddHours,1
Canvas.GetFontSize,3
Spinner.GetPrompt,1
BluetoothClient.SendBytes,25
TimePicker.AfterTimeSet,97
Image.GetVisible,345
color_pink,686
Clock.DayOfMonth,100
BluetoothServer.BytesAvailableToReceive,96
Button.SetHeight,809
ListPicker.GetSelectionIndex,1371
Texting.SetReceivingEnabled,15
Ball.GetEnabled,61
BluetoothServer.GetIsAccepting,32
component_component_block,8736
Web.PutText,12
LocationSensor.GetProviderName,56
Label.SetWidth,304
Canvas.GetVisible,62
NxtColorSensor.WithinRange,1
PhoneNumberPicker.GetText,1
TimePicker.SetVisible,1
Slider.SetVisible,265
TextBox.GetBackgroundColor,14
Clock.Minute,72
VideoPlayer.SetFullScreen,96
Spinner.GetVisible,1
None.det,2
controls_forEach,1457
VideoPlayer.SetSource,67
Ball.Flung,1159
AccelerometerSensor.SetMinimumInterval,4
BluetoothClient.ReceiveSigned2ByteNumber,18
NxtLightSensor.SetGenerateLight,12
Canvas.setproperty,12
Ball.GetHeading,649
ListView.SetVisible,89
Slider.GetColorRight,3
math_random_set_seed,10
TextBox.SetNumbersOnly,57
lists_remove_item,795
HorizontalArrangement.SetVisible,5062
CheckBox.SetTextColor,48
logic_or,1457
NxtLightSensor.SetTopOfRange,1
Form.GetAlignHorizontal,5
AccelerometerSensor.GetYAccel,166
File.GotText,246
color_yellow,1464
NxtTouchSensor.SetPressedEventEnabled,2
TextBox.setproperty,4
Player.SetVolume,123
math_division,7400
Notifier.LogInfo,52
DatePicker.SetTextColor,1
AccelerometerSensor.GetXAccel,139
Notifier.GetTextColor,1
lists_position_in,438
None.Now,1
TextToSpeech.GetPitch,3
math_divide,1158
BluetoothClient.GetEnabled,578
PhoneNumberPicker.SetText,2
TextBox.GotFocus,259
ListPicker.SetFontItalic,1
CheckBox.SetHeight,22
PhoneNumberPicker.GetPicture,28
NxtDirectCommands.StartProgram,2
CheckBox.SetEnabled,306
BluetoothServer.Send4ByteNumber,1
Label.SetVisible,8580
ImagePicker.TouchDown,10
OrientationSensor.GetMagnitude,167
TinyDB.GetValue,23363
Web.UriEncode,374
Button.GetText,3889
ListPicker.SetSelectionIndex,108
Player.SetLoop,80
Label.GetFontSize,70
Ball.GetInterval,5
DatePicker.GetYear,223
Sharing.ShareMessage,123
BluetoothClient.Connect,1273
DatePicker.GetDay,271
BluetoothClient.GetAddressesAndNames,1101
NxtDrive.TurnClockwiseIndefinitely,27
Canvas.GetBackgroundImage,68
PhoneNumberPicker.SetEnabled,1
Canvas.SetFontSize,110
LocationSensor.SetEnabled,399
Twitter.SearchSuccessful,5
controls_getPlainStartText,43
Label.GetWidth,160
TextBox.HideKeyboard,610
TinyWebDB.StoreValue,773
Texting.SetGoogleVoiceEnabled,12
procedures_callreturn,4342
Ball.Dragged,51
Button.LongClick,1097
Canvas.Clear,2407
ImageSprite.getproperty,6
Camera.SetUseFront,26
TimePicker.SetText,46
CheckBox.SetBackgroundColor,9
VideoPlayer.Pause,46
PhoneNumberPicker.GetPhoneNumberList,2
LocationSensor.GetTimeInterval,16
ListPicker.GetImage,1
Button.Click,78327
Canvas.GetPixelColor,23
TextToSpeech.GetSpeechRate,3
TextToSpeech.GetAvailableLanguages,1
Spinner.SetElementsFromString,118
TinyDB.StoreValue,18640
Notifier.ShowProgressDialog,11
BarcodeScanner.GetResult,114
Clock.FormatDate,173
HorizontalArrangement.SetHeight,101
VideoPlayer.Start,121
ProximitySensor.SetEnabled,1
NxtDrive.MoveBackwardIndefinitely,74
TextToSpeech.SetPitch,68
Clock.AddSeconds,7
Canvas.SetLineWidth,683
PasswordTextBox.LostFocus,3
ListPicker.GetElements,119
LocationSensor.GetEnabled,26
ImageSprite.SetHeading,1442
